DEPARTMENT,POSITION,GENDER,count
Arts & Sciences,ASSISTANT DEAN,F,138
Arts & Sciences,ASSISTANT DEAN,M,70
Arts & Sciences,ASSOCIATE DEAN,F,220
Arts & Sciences,ASSOCIATE DEAN,M,191
Arts & Sciences,DEAN,F,90
Arts & Sciences,DEAN,M,118
Business,ASSISTANT DEAN,F,34
Business,ASSISTANT DEAN,M,19
Business,ASSOCIATE DEAN,F,59
Business,ASSOCIATE DEAN,M,103
Business,DEAN,F,5
Business,DEAN,M,29
Dentistry,ASSISTANT DEAN,F,12
Dentistry,ASSISTANT DEAN,M,12
Dentistry,ASSOCIATE DEAN,F,25
Dentistry,ASSOCIATE DEAN,M,33
Dentistry,DEAN,F,4
Dentistry,DEAN,M,12
Education,ASSISTANT DEAN,F,22
Education,ASSISTANT DEAN,M,13
Education,ASSOCIATE DEAN,F,34
Education,ASSOCIATE DEAN,M,18
Education,DEAN,F,6
Education,DEAN,M,15
Engineering,ASSISTANT DEAN,F,26
Engineering,ASSISTANT DEAN,M,14
Engineering,ASSOCIATE DEAN,F,29
Engineering,ASSOCIATE DEAN,M,60
Engineering,DEAN,F,5
Engineering,DEAN,M,21
Graduate,ASSISTANT DEAN,F,15
Graduate,ASSISTANT DEAN,M,13
Graduate,ASSOCIATE DEAN,F,31
Graduate,ASSOCIATE DEAN,M,21
Graduate,DEAN,F,12
Graduate,DEAN,M,16
Law,ASSISTANT DEAN,F,58
Law,ASSISTANT DEAN,M,28
Law,ASSOCIATE DEAN,F,73
Law,ASSOCIATE DEAN,M,54
Law,DEAN,F,15
Law,DEAN,M,11
Medicine,ASSISTANT DEAN,F,74
Medicine,ASSISTANT DEAN,M,67
Medicine,ASSOCIATE DEAN,F,157
Medicine,ASSOCIATE DEAN,M,203
Medicine,DEAN,F,9
Medicine,DEAN,M,31
Music,ASSISTANT DEAN,F,2
Music,ASSISTANT DEAN,M,2
Music,ASSOCIATE DEAN,F,6
Music,ASSOCIATE DEAN,M,6
Music,DEAN,F,2
Music,DEAN,M,3
Nursing,ASSISTANT DEAN,F,24
Nursing,ASSISTANT DEAN,M,3
Nursing,ASSOCIATE DEAN,F,60
Nursing,ASSOCIATE DEAN,M,10
Nursing,DEAN,F,14
Pharmacy,ASSISTANT DEAN,F,9
Pharmacy,ASSISTANT DEAN,M,7
Pharmacy,ASSOCIATE DEAN,F,23
Pharmacy,ASSOCIATE DEAN,M,24
Pharmacy,DEAN,F,1
Pharmacy,DEAN,M,6
Public Health,ASSISTANT DEAN,F,15
Public Health,ASSISTANT DEAN,M,1
Public Health,ASSOCIATE DEAN,F,33
Public Health,ASSOCIATE DEAN,M,18
Public Health,DEAN,F,8
Public Health,DEAN,M,6
Religion,ASSISTANT DEAN,F,7
Religion,ASSISTANT DEAN,M,2
Religion,ASSOCIATE DEAN,F,12
Religion,ASSOCIATE DEAN,M,14
Religion,DEAN,F,5
Religion,DEAN,M,5
Senior Leadership,OTHER,F,37
Senior Leadership,OTHER,M,44
Senior Leadership,PRESIDENT/CHANCELLOR,F,10
Senior Leadership,PRESIDENT/CHANCELLOR,M,26
Senior Leadership,VP/VICE CHANCELLOR,F,112
Senior Leadership,VP/VICE CHANCELLOR,M,187
Veterinary,ASSISTANT DEAN,F,3
Veterinary,ASSISTANT DEAN,M,3
Veterinary,ASSOCIATE DEAN,F,5
Veterinary,ASSOCIATE DEAN,M,4
Veterinary,DEAN,F,1
Veterinary,DEAN,M,1
