"","Var1","Var2","vals","sig"
"1","eng","eng",NA,NA
"2","bus","eng",1,FALSE
"3","den","eng",1,FALSE
"4","med","eng",1,FALSE
"5","pha","eng",1,FALSE
"6","mus","eng",1,FALSE
"7","vet","eng",1,FALSE
"8","rel","eng",1,FALSE
"9","gra","eng",1,FALSE
"10","art","eng",0.0802935604272164,FALSE
"11","edu","eng",0.549419738914041,FALSE
"12","law","eng",0.0034695888451234,TRUE
"13","pub","eng",0.00267507392143449,TRUE
"14","nur","eng",2.34857098859683e-13,TRUE
"15","eng","bus",1,FALSE
"16","bus","bus",NA,NA
"17","den","bus",1,FALSE
"18","med","bus",1,FALSE
"19","pha","bus",1,FALSE
"20","mus","bus",1,FALSE
"21","vet","bus",1,FALSE
"22","rel","bus",1,FALSE
"23","gra","bus",1,FALSE
"24","art","bus",0.00836242521153735,TRUE
"25","edu","bus",0.323074208462981,FALSE
"26","law","bus",0.00040855892909137,TRUE
"27","pub","bus",0.000907708022464829,TRUE
"28","nur","bus",3.62502971589583e-15,TRUE
"29","eng","den",1,FALSE
"30","bus","den",1,FALSE
"31","den","den",NA,NA
"32","med","den",1,FALSE
"33","pha","den",1,FALSE
"34","mus","den",1,FALSE
"35","vet","den",1,FALSE
"36","rel","den",1,FALSE
"37","gra","den",1,FALSE
"38","art","den",1,FALSE
"39","edu","den",1,FALSE
"40","law","den",0.259334985406522,FALSE
"41","pub","den",0.0684403609648192,FALSE
"42","nur","den",6.26269877328732e-10,TRUE
"43","eng","med",1,FALSE
"44","bus","med",1,FALSE
"45","den","med",1,FALSE
"46","med","med",NA,NA
"47","pha","med",1,FALSE
"48","mus","med",1,FALSE
"49","vet","med",1,FALSE
"50","rel","med",1,FALSE
"51","gra","med",1,FALSE
"52","art","med",0.0688437923355955,FALSE
"53","edu","med",1,FALSE
"54","law","med",0.00360815877904516,TRUE
"55","pub","med",0.00787113458224566,TRUE
"56","nur","med",1.42330887524991e-14,TRUE
"57","eng","pha",1,FALSE
"58","bus","pha",1,FALSE
"59","den","pha",1,FALSE
"60","med","pha",1,FALSE
"61","pha","pha",NA,NA
"62","mus","pha",1,FALSE
"63","vet","pha",1,FALSE
"64","rel","pha",1,FALSE
"65","gra","pha",1,FALSE
"66","art","pha",1,FALSE
"67","edu","pha",1,FALSE
"68","law","pha",1,FALSE
"69","pub","pha",1,FALSE
"70","nur","pha",8.03808029820776e-07,TRUE
"71","eng","mus",1,FALSE
"72","bus","mus",1,FALSE
"73","den","mus",1,FALSE
"74","med","mus",1,FALSE
"75","pha","mus",1,FALSE
"76","mus","mus",NA,NA
"77","vet","mus",1,FALSE
"78","rel","mus",1,FALSE
"79","gra","mus",1,FALSE
"80","art","mus",1,FALSE
"81","edu","mus",1,FALSE
"82","law","mus",1,FALSE
"83","pub","mus",1,FALSE
"84","nur","mus",0.00569522796192913,TRUE
"85","eng","vet",1,FALSE
"86","bus","vet",1,FALSE
"87","den","vet",1,FALSE
"88","med","vet",1,FALSE
"89","pha","vet",1,FALSE
"90","mus","vet",1,FALSE
"91","vet","vet",NA,NA
"92","rel","vet",1,FALSE
"93","gra","vet",1,FALSE
"94","art","vet",1,FALSE
"95","edu","vet",1,FALSE
"96","law","vet",1,FALSE
"97","pub","vet",1,FALSE
"98","nur","vet",0.129174238969348,FALSE
"99","eng","rel",1,FALSE
"100","bus","rel",1,FALSE
"101","den","rel",1,FALSE
"102","med","rel",1,FALSE
"103","pha","rel",1,FALSE
"104","mus","rel",1,FALSE
"105","vet","rel",1,FALSE
"106","rel","rel",NA,NA
"107","gra","rel",1,FALSE
"108","art","rel",1,FALSE
"109","edu","rel",1,FALSE
"110","law","rel",1,FALSE
"111","pub","rel",1,FALSE
"112","nur","rel",0.00076451301977481,TRUE
"113","eng","gra",1,FALSE
"114","bus","gra",1,FALSE
"115","den","gra",1,FALSE
"116","med","gra",1,FALSE
"117","pha","gra",1,FALSE
"118","mus","gra",1,FALSE
"119","vet","gra",1,FALSE
"120","rel","gra",1,FALSE
"121","gra","gra",NA,NA
"122","art","gra",1,FALSE
"123","edu","gra",1,FALSE
"124","law","gra",1,FALSE
"125","pub","gra",1,FALSE
"126","nur","gra",6.33766844966566e-06,TRUE
"127","eng","art",0.0802935604272164,FALSE
"128","bus","art",0.00836242521153735,TRUE
"129","den","art",1,FALSE
"130","med","art",0.0688437923355955,FALSE
"131","pha","art",1,FALSE
"132","mus","art",1,FALSE
"133","vet","art",1,FALSE
"134","rel","art",1,FALSE
"135","gra","art",1,FALSE
"136","art","art",NA,NA
"137","edu","art",1,FALSE
"138","law","art",1,FALSE
"139","pub","art",1,FALSE
"140","nur","art",2.7473992864352e-09,TRUE
"141","eng","edu",0.549419738914041,FALSE
"142","bus","edu",0.323074208462981,FALSE
"143","den","edu",1,FALSE
"144","med","edu",1,FALSE
"145","pha","edu",1,FALSE
"146","mus","edu",1,FALSE
"147","vet","edu",1,FALSE
"148","rel","edu",1,FALSE
"149","gra","edu",1,FALSE
"150","art","edu",1,FALSE
"151","edu","edu",NA,NA
"152","law","edu",1,FALSE
"153","pub","edu",1,FALSE
"154","nur","edu",9.63717049026034e-05,TRUE
"155","eng","law",0.0034695888451234,TRUE
"156","bus","law",0.00040855892909137,TRUE
"157","den","law",0.259334985406522,FALSE
"158","med","law",0.00360815877904516,TRUE
"159","pha","law",1,FALSE
"160","mus","law",1,FALSE
"161","vet","law",1,FALSE
"162","rel","law",1,FALSE
"163","gra","law",1,FALSE
"164","art","law",1,FALSE
"165","edu","law",1,FALSE
"166","law","law",NA,NA
"167","pub","law",1,FALSE
"168","nur","law",8.29393315821808e-05,TRUE
"169","eng","pub",0.00267507392143449,TRUE
"170","bus","pub",0.000907708022464829,TRUE
"171","den","pub",0.0684403609648192,FALSE
"172","med","pub",0.00787113458224566,TRUE
"173","pha","pub",1,FALSE
"174","mus","pub",1,FALSE
"175","vet","pub",1,FALSE
"176","rel","pub",1,FALSE
"177","gra","pub",1,FALSE
"178","art","pub",1,FALSE
"179","edu","pub",1,FALSE
"180","law","pub",1,FALSE
"181","pub","pub",NA,NA
"182","nur","pub",0.259334985406522,FALSE
"183","eng","nur",2.34857098859683e-13,TRUE
"184","bus","nur",3.62502971589583e-15,TRUE
"185","den","nur",6.26269877328732e-10,TRUE
"186","med","nur",1.42330887524991e-14,TRUE
"187","pha","nur",8.03808029820776e-07,TRUE
"188","mus","nur",0.00569522796192913,TRUE
"189","vet","nur",0.129174238969348,FALSE
"190","rel","nur",0.00076451301977481,TRUE
"191","gra","nur",6.33766844966566e-06,TRUE
"192","art","nur",2.7473992864352e-09,TRUE
"193","edu","nur",9.63717049026034e-05,TRUE
"194","law","nur",8.29393315821808e-05,TRUE
"195","pub","nur",0.259334985406522,FALSE
"196","nur","nur",NA,NA
